book_id,book,page_id,panel_id
03,tintin_in_america,23,01
03,tintin_in_america,23,02
03,tintin_in_america,23,03
03,tintin_in_america,23,04
03,tintin_in_america,23,05
03,tintin_in_america,23,06
03,tintin_in_america,23,07
03,tintin_in_america,23,08
03,tintin_in_america,23,09
03,tintin_in_america,23,10
03,tintin_in_america,23,11
03,tintin_in_america,23,12
03,tintin_in_america,23,13
03,tintin_in_america,23,14
03,tintin_in_america,23,15
03,tintin_in_america,24,01
03,tintin_in_america,24,02
03,tintin_in_america,24,03
03,tintin_in_america,24,04
03,tintin_in_america,24,05
03,tintin_in_america,24,06
03,tintin_in_america,24,07
03,tintin_in_america,24,08
03,tintin_in_america,24,09
03,tintin_in_america,24,10
03,tintin_in_america,24,11
03,tintin_in_america,24,12
03,tintin_in_america,24,13
03,tintin_in_america,24,14
03,tintin_in_america,24,15
03,tintin_in_america,24,16
03,tintin_in_america,25,01
03,tintin_in_america,25,02
03,tintin_in_america,25,03
03,tintin_in_america,25,04
03,tintin_in_america,25,05
03,tintin_in_america,25,06
03,tintin_in_america,25,07
03,tintin_in_america,25,08
03,tintin_in_america,25,09
03,tintin_in_america,25,10
03,tintin_in_america,25,11
03,tintin_in_america,25,12
03,tintin_in_america,25,13
03,tintin_in_america,26,01
03,tintin_in_america,26,02
03,tintin_in_america,26,03
03,tintin_in_america,26,04
03,tintin_in_america,26,05
03,tintin_in_america,26,06
03,tintin_in_america,26,07
03,tintin_in_america,26,08
03,tintin_in_america,26,09
03,tintin_in_america,26,10
03,tintin_in_america,26,11
03,tintin_in_america,26,12
03,tintin_in_america,26,13
03,tintin_in_america,26,14
03,tintin_in_america,26,15
03,tintin_in_america,27,01
03,tintin_in_america,27,02
03,tintin_in_america,27,03
03,tintin_in_america,27,04
03,tintin_in_america,27,05
03,tintin_in_america,27,06
03,tintin_in_america,27,07
03,tintin_in_america,27,08
03,tintin_in_america,27,09
03,tintin_in_america,27,10
03,tintin_in_america,27,11
03,tintin_in_america,27,12
03,tintin_in_america,28,01
03,tintin_in_america,28,02
03,tintin_in_america,28,03
03,tintin_in_america,28,04
03,tintin_in_america,28,05
03,tintin_in_america,28,06
03,tintin_in_america,28,07
03,tintin_in_america,28,08
03,tintin_in_america,28,09
03,tintin_in_america,28,10
03,tintin_in_america,28,11
03,tintin_in_america,28,12
03,tintin_in_america,28,13
03,tintin_in_america,29,01
03,tintin_in_america,29,02
03,tintin_in_america,29,03
03,tintin_in_america,29,04
03,tintin_in_america,29,05
03,tintin_in_america,29,06
03,tintin_in_america,29,07
03,tintin_in_america,29,08
03,tintin_in_america,29,09
03,tintin_in_america,30,01
03,tintin_in_america,30,02
03,tintin_in_america,30,03
03,tintin_in_america,30,04
03,tintin_in_america,30,05
03,tintin_in_america,30,06
03,tintin_in_america,30,07
03,tintin_in_america,30,08
03,tintin_in_america,30,09
03,tintin_in_america,30,10
03,tintin_in_america,30,11
03,tintin_in_america,31,01
03,tintin_in_america,31,02
03,tintin_in_america,31,03
03,tintin_in_america,31,04
03,tintin_in_america,31,05
03,tintin_in_america,31,06
03,tintin_in_america,31,07
03,tintin_in_america,31,08
03,tintin_in_america,31,09
03,tintin_in_america,31,10
03,tintin_in_america,32,01
03,tintin_in_america,32,02
03,tintin_in_america,32,03
03,tintin_in_america,32,04
03,tintin_in_america,32,05
03,tintin_in_america,32,06
03,tintin_in_america,32,07
03,tintin_in_america,32,08
03,tintin_in_america,32,09
03,tintin_in_america,32,10
03,tintin_in_america,32,11
03,tintin_in_america,32,12
