epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2798,1.35661,3.84549,1.40458,0.6928,0.35417,0.41926,0.25993,1.28754,3.8616,1.36194,0.00024442,0.00024442,0.00024442
2,19.5434,1.28803,2.06981,1.30307,0.8382,0.29556,0.51787,0.32552,1.28028,2.32936,1.35545,0.000491701,0.000491701,0.000491701
3,28.1116,1.2923,1.54423,1.27074,0.59388,0.57847,0.64224,0.36508,1.38226,1.75994,1.50055,0.000730549,0.000730549,0.000730549
4,36.4104,1.23756,1.21108,1.28494,0.58692,0.67917,0.60019,0.36337,1.25403,2.86123,1.47189,0.000960965,0.000960965,0.000960965
5,43.7756,1.30795,1.30948,1.29325,0.61577,0.58651,0.66746,0.39332,1.34455,2.12911,1.6162,0.00103767,0.00103767,0.00103767
6,52.062,1.22874,1.24671,1.25579,0.7499,0.58996,0.66476,0.44806,1.34941,1.40725,1.4691,0.00101934,0.00101934,0.00101934
7,60.4219,1.1715,1.07294,1.24099,0.55144,0.5071,0.46322,0.29228,1.32803,2.04012,1.3907,0.00100101,0.00100101,0.00100101
8,67.752,1.19823,1.02779,1.21587,0.53004,0.34638,0.3043,0.18545,1.38404,2.65646,1.49426,0.000982679,0.000982679,0.000982679
9,75.9404,1.15501,1.01313,1.22903,0.72209,0.54191,0.62358,0.42199,1.24,1.59265,1.3753,0.000964348,0.000964348,0.000964348
10,83.5222,1.16285,0.94045,1.24622,0.83826,0.50183,0.66882,0.39764,1.36427,1.72248,1.47905,0.000946016,0.000946016,0.000946016
11,91.6444,1.14361,0.96826,1.21358,0.85206,0.68213,0.8336,0.53512,1.25456,1.09706,1.33567,0.000927685,0.000927685,0.000927685
12,99.9813,1.16731,0.99681,1.1926,0.7589,0.66427,0.70578,0.48363,1.15418,1.39645,1.28626,0.000909353,0.000909353,0.000909353
13,107.364,1.13076,0.92491,1.18233,0.81825,0.66619,0.74361,0.49104,1.19626,1.11687,1.28822,0.000891022,0.000891022,0.000891022
14,115.52,1.08989,0.86562,1.16179,0.76428,0.75393,0.83681,0.52875,1.22825,0.9435,1.27418,0.000872691,0.000872691,0.000872691
15,123.491,1.09136,0.86225,1.1557,0.84455,0.67019,0.81001,0.5605,1.224,0.842,1.2705,0.000854359,0.000854359,0.000854359
16,131.467,1.09411,0.83019,1.17126,0.79246,0.75476,0.79068,0.54114,1.2431,0.93365,1.31042,0.000836027,0.000836027,0.000836027
17,139.63,1.05725,0.79393,1.14499,0.77758,0.7247,0.79874,0.53913,1.21941,0.93677,1.28085,0.000817696,0.000817696,0.000817696
18,147.071,1.07064,0.79571,1.15321,0.83055,0.6472,0.79502,0.51137,1.26781,1.03919,1.35764,0.000799365,0.000799365,0.000799365
19,155.469,1.02054,0.73484,1.11566,0.86156,0.70848,0.74969,0.50885,1.19479,0.9653,1.28346,0.000781033,0.000781033,0.000781033
20,163.564,1.04327,0.76584,1.14523,0.75516,0.6819,0.8105,0.56042,1.1227,0.97486,1.24417,0.000762702,0.000762702,0.000762702
