epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,182.404,0.79869,0.48921,1.02402,0.93566,0.99745,0.995,0.683,1.12456,0.45674,1.22687,0.000359409,0.000359409,0.000359409
43,186.986,0.73146,0.47785,0.9887,0.91755,1,0.995,0.65793,1.15296,0.46404,1.22852,0.000341077,0.000341077,0.000341077
44,191.076,0.74199,0.46672,1.0038,0.9439,0.99977,0.995,0.65512,1.1299,0.4903,1.19092,0.000322745,0.000322745,0.000322745
45,195.119,0.7743,0.49697,1.01837,0.97913,0.96471,0.995,0.63418,1.16636,0.52965,1.24301,0.000304414,0.000304414,0.000304414
46,199.811,0.71105,0.46127,0.98375,0.94268,0.98344,0.995,0.65595,1.1341,0.4875,1.26858,0.000286083,0.000286083,0.000286083
47,204.032,0.68278,0.46577,0.96389,0.89652,0.99077,0.995,0.65793,1.12805,0.45424,1.27818,0.000267751,0.000267751,0.000267751
48,207.987,0.69623,0.45698,0.98289,0.90064,0.99085,0.995,0.63795,1.14833,0.46308,1.31635,0.00024942,0.00024942,0.00024942
49,212.493,0.69915,0.46823,0.99569,0.97424,0.8887,0.962,0.66338,1.12484,0.47638,1.29006,0.000231088,0.000231088,0.000231088
50,216.605,0.70951,0.44991,1.00362,0.95945,0.88542,0.94775,0.67315,1.12565,0.49248,1.28213,0.000212757,0.000212757,0.000212757
51,222.072,0.61361,0.4752,0.95443,0.95338,0.89102,0.962,0.68005,1.20263,0.51666,1.34142,0.000194425,0.000194425,0.000194425
52,226.729,0.63387,0.36293,0.95662,0.96297,0.88965,0.962,0.67832,1.19695,0.5131,1.31557,0.000176094,0.000176094,0.000176094
53,230.684,0.59158,0.34652,0.92471,0.97494,0.88973,0.97438,0.67425,1.16065,0.49465,1.27712,0.000157762,0.000157762,0.000157762
54,234.543,0.60508,0.36074,0.94934,0.97139,0.89161,0.97438,0.66534,1.1462,0.50698,1.28793,0.000139431,0.000139431,0.000139431
55,239.145,0.5487,0.33672,0.91816,0.97654,0.89134,0.97438,0.66837,1.13326,0.48647,1.28463,0.000121099,0.000121099,0.000121099
56,243.073,0.57625,0.32919,0.94462,0.96716,0.88305,0.97104,0.66864,1.11158,0.47645,1.26835,0.000102768,0.000102768,0.000102768
57,246.944,0.52921,0.33167,0.91606,0.9576,0.89812,0.97438,0.68211,1.12874,0.46935,1.28072,8.4436e-05,8.4436e-05,8.4436e-05
58,251.545,0.54502,0.32835,0.92996,0.93455,0.89864,0.97438,0.6798,1.13937,0.48634,1.28672,6.61045e-05,6.61045e-05,6.61045e-05
59,255.551,0.55882,0.33213,0.91275,0.92801,0.8987,0.97438,0.66964,1.15187,0.48772,1.30854,4.7773e-05,4.7773e-05,4.7773e-05
60,259.494,0.54934,0.33006,0.88191,0.93137,0.89617,0.97438,0.6749,1.15352,0.48991,1.32416,2.94415e-05,2.94415e-05,2.94415e-05
